Tipo;Colonia;Habitaciones;Area;Valor
Cocineta;Condesa;1;40;5950.0
Casa;Polanco;2;100;24500.0
Conjunto Comercial/Sala;Santa Fe;0;150;18200.0
Departamento;Centro Histórico;1;15;2800.0
Departamento;Del Valle;1;48;2800.0
Casa de Condominio;Santa Fe;5;750;77000.0
Conjunto Comercial/Sala;Centro Histórico;0;695;122500.0
Departamento;Centro Histórico;1;36;4200.0
Departamento;Condesa;1;40;7000.0
Cocineta;Condesa;1;27;6300.0
Departamento;Condesa;4;243;45500.0
Edificio Completo;Roma;0;536;98000.0
Departamento en Hotel;Roma;3;80;13300.0
Departamento;Santa Fe;2;67;5950.0
Departamento;Narvarte;2;110;6650.0
Casa de Condominio;Santa Fe;4;466;26250.0
Departamento;Narvarte;2;78;7000.0
Departamento en Hotel;Lomas de Chapultepec;1;56;15750.0
Departamento;Coyoacán;3;125;24500.0
Departamento;Narvarte;1;48;2625.0
Departamento;Santa Fe;3;175;14700.0
Departamento;Roma;2;76;8750.0
Departamento;Condesa;3;378;35000.0
Departamento;Condesa;3;180;19250.0
Conjunto Comercial/Sala;Santa Fe;0;22;2450.0
Departamento;Lomas de Chapultepec;3;110;13650.0
Conjunto Comercial/Sala;Centro Histórico;0;1306;411390.0
Cocineta;Condesa;1;27;4550.0
Departamento;Santa Fe;3;70;6300.0
Departamento;Condesa;4;244;17500.0
Departamento;Santa Fe;3;110;15750.0
Conjunto Comercial/Sala;Centro Histórico;0;460;26250.0
Conjunto Comercial/Sala;Centro Histórico;0;1170;491596.0
Departamento;Santa Fe;3;72;8225.0
Departamento;San Pedro de los Pinos;2;180;14000.0
Conjunto Comercial/Sala;Centro Histórico;0;70;6650.0
Conjunto Comercial/Sala;Polanco;0;50;14000.0
Departamento;Centro Histórico;1;27;2625.0
Departamento;Coyoacán;1;35;7000.0
Departamento;Coyoacán;1;38;4900.0
Tienda/Salón;Condesa;0;34;7000.0
Casa de Condominio;Santa Fe;5;1600;87500.0
Departamento;Santa Fe;4;153;22750.0
Departamento;Coyoacán;3;87;11200.0
Departamento;Roma;3;108;20825.0
Departamento;Coyoacán;3;150;28000.0
Conjunto Comercial/Sala;Centro Histórico;0;1;9975.0
Departamento;Coyoacán;3;140;27650.0
Departamento;Polanco;2;95;14000.0
Departamento;Santa Fe;2;70;
Conjunto Comercial/Sala;Santa Fe;0;33;2450.0
Conjunto Comercial/Sala;Polanco;0;24;8750.0
Conjunto Comercial/Sala;Santa Fe;0;32;2975.0
Casa Comercial;Roma;0;140;24500.0
Conjunto Comercial/Sala;Centro Histórico;0;390;88889.5
Conjunto Comercial/Sala;Centro Histórico;0;320;42000.0
